"RSPO3"	"IL4"	"CD274"	"IL15"	"OCLN"
"CDKN1A"	"CXCL8"	"IFNG"	"MYC"	"CDKN1A"
"MYC"	"MAOA"	"IL2"	"CXCR4"	"MYC"
"CCND1"	"CDKN1A"	"IL10"	"IL10"	"SERPINE1"
"IFNG"	"PTGS2"	"PCNA"	"PIM1"	"CCND1"
"FOS"	"IRF4"	"TNFSF11"	"IFNG"	"VEGFA"
"VEGFA"	"FCER1A"	"POLD2"	"SLC7A5"	"FOS"
"EGR1"	"CCL5"	"UHRF1"	"BCL2L1"	"JUN"
"BCL2"	"IL1RN"	"MAGOH2P"	"OSM"	"BCL2"
"BCL6"	"TGM2"	"AK6"	"TNF"	"IGFBP3"
"PTGS2"	"PDCD1LG2"	"FAM13A-AS1"	"ADAM19"	"CDH1"
"DDIT4"	"CCL26"	"N4BP2L2-IT2"	"SLC1A5"	"PTGS2"
"IL6"	"CD1A"	"PWAR5"	"DUSP6"	"ID2"
"SERPINE1"	"CCL2"	"SNORA47"	"LRP8"	"EGR1"
"ID2"	"CCL17"	"MYC"	"CCR2"	"TP53"
"TP53"	"ALOX15"	"LINC00528"	"IL1A"	"ID3"
